0 "a randomized polynomialtime algorithm for approximating the volume ofa convex" "a randomized polynomialtime algorithm for approximating the volume ofa convex body k in ndimensional euclidean space is presented theproof of correctness of the algorithm relies on recent theory ofrapidly mixing markov chains and isoperimetric inequalities to showthat a certain random walk can be used to sample nearly uniformly fromwithin k"
1 "the problem of determining shortest paths through a weighted planar" "the problem of determining shortest paths through a weighted planar polygonal subdivision with n vertices is considered distances are measured according to a weighted euclidean metric the length of a path is defined to be the weighted sum of euclidean lengths of the subpaths within each region an algorithm that constructs a restricted shortest path map with respect to a given source point is presented the output is a partitioning of each edge of the subdivion into intervals of egr optimality allowing an egroptimal path to be traced from the source to any query point along any edge the algorithm runs in worstcase time oes and requires oe space where e is the number of events in our algorithm and s is the time it takes to run a numerical search procedure in the worst case e is bounded above by on and we give an ohgrn lower bound but it is likeky that e will be much smaller in practice we also show that s is bounded by onl where l is the precision of the problem instance including the number of bits in the userspecified tolerance egr again the value of s should be smaller in practice the algorithm applies the continuous dijkstra paradigm and exploits the fact that shortest paths obey snells law of refraction at region boundaries a local optimaly property of shortest paths that is well known from the analogous optics model the algorithm generalizes to the multisource case to compute voronoi diagrams"
2 "randomized optimal algorithms to find a partition of the plane" "randomized optimal algorithms to find a partition of the plane induced by a set of algebraic segments of a bounded degree and a set of linear chains of a bounded degree are given this paper also provides a new technique for clipping called virtual clipping whose overhead per window w depends logarithmically on the number if intersections between the borders of w and the input segments in contrast the overhead of the conventional clipping technique depends linearly on this number of intersections as an application of virtual clipping a new simple and efficient algorithm for plannar point location is given"
3 "in many computing applications there are several equivalent algorithms capable" "in many computing applications there are several equivalent algorithms capable of performing a particular task and no one is the most efficient under all statistical distributions of the data in such contexts a good heuristic is to take a sample of the database and use it to guess which procedure is likely to be the most efficient this paper defines the very general notion of a differentiable query problem and shows that the ideal sample size for guessing the optimal choice of algorithm is on for all differential problems involving approximately n executing steps"
4 "a simple characterization of independent database schemes is proved an" "a simple characterization of independent database schemes is proved an algorithm is given for translating a tableau t posed as a query on a representative instance to a union of tableaux that is equivalent to t but can be applied directly to database relations the algorithm may take exponential time in the size of t and the database scheme and it is applicable only to independent database schemes if t is a just a projection of a representative instance then the algorithm has a simpler form which is still exponential in the worst case and is polynomial in some cases"
5 "an algorithm is presented for generating a succinct encoding of" "an algorithm is presented for generating a succinct encoding of all pairs shortest path information in a directed planar graph g with realvalued edge costs but no negative cycles the algorithm runs in opn time where n is the number of vertices in g and p is the minimum cardinality of a subset of the faces that cover all vertices taken over all planar embeddings of g the algorithm is based on a decomposition of the graph into opn outerplanar subgraphs satisfying certain separator properties lineartime algorithms are presented for various subproblems including that of finding an appropriate embedding of g and a corresponding faceonvertex covering of cardinality op and of generating all pairs shortest path information in a directed outerplannar graph"
6 "the class of horn clause sets in propositional logic is" "the class of horn clause sets in propositional logic is extended to a larger class for which the satisfiability problem can still be solved by unit resolution in linear time it is shown that to every arborescence there corresponds a family of extended horn sets where ordinary horn sets correspond to stars with a root at the center these results derive from a theorem of chandresekaran that characterizes when an integer solution of a system of inequalities can be found by rounding a real solution in a certain way a lineartime procedure is provided for identifying hidden extended horn sets extended horn but for complementation of variables that correspond to a specified arborescence finally a way to interpret extended horn sets in applications is suggested"
7 "a technologyindependent framework is established for measuring the switching energy" "a technologyindependent framework is established for measuring the switching energy consumed by very large scale integrated vlsi circuits techniques are developed for analyzing functional energy consumption and for designing energyefficient vlsi circuits a wire or gate in a circuit uses switching energy when it changes state from to or vice versa this paper develops the uniswitch model usm of energy consumption which measures the differences between pairs of states of an embedded circuit"
8 "certain problems related to the length of cycles and paths" "certain problems related to the length of cycles and paths modulo a given integer are studied lineartime algorithms are presented that determine whether all cycles in an undirected graph are of length p mod q and whether all paths between two specified nodes are of length p mod q for fixed integers pq these results are compared to those for directed graphs"
9 "let s be a set f ssr a bivariate function" "let s be a set f ssr a bivariate function and fxs the maximum value of fxy over all elements ys we say that f is decomposable with respect with the maximum if fxs max fxsfxsfxsk for any decomposition s mgriiksi computing the maximum minimum value of a decomposable function is inherent in many problems of computational geometry and robotics in this paper a general technique is presented for updating the maximum minimum value of a decomposable function as elements are inserted into and deleted from the set s our result holds for a semionline model of dynamization when an element is inserted we are told how long it will stay applications of this technique include efficient algorithms for dynamically computing the diameter or closest pair of a set of points minimum separation among a set of rectangles smallest distance between a set of points and a set of hyperplanes and largest or smallest area perimeter retangles determined by a set of points these problems are fundamental to application areas such as robotics vlsi masking and optimization"
10 "a logic simulator can prove the correctness of a digital" "a logic simulator can prove the correctness of a digital circuit if it can be shown that only circuits fulfilling the system specification will produce a particular response to a sequence of simulation commandsthis style of verification has advantages over the other proof methods in being readily automated and requiring less attention on the part of the user to the lowlevel details of the design it has advantages over other approaches to simulation in providing more reliable results often at a comparable cost this paper presents the theoretical foundations of several related approaches to circuit verification based on logic simulation these approaches exploit the threevalued modeling capability found in most logic simulators where the thirdvalue x indicates a signal with unknown digital value although the circuit verification problem is nphard as measured in the size of the circuit description several techniques can reduce the simulation complexity to a manageable level for many practical circuits"
11 "the general problem of parallel concurrent processing is investigated from" "the general problem of parallel concurrent processing is investigated from a queuing theoretic point of view as a basic simple model consider infinitely many processors that can work simultaneously and a stream of arriving jobs each carrying a processing time requirement upon arrival a job is allocated to a processor and starts being executed unless it is blocked by another one already in the system indeed any job can be randomly blocked by any preceding one in the sense that it cannot start being processed before the one that blocks it leaves after execution the job leaves the system the arrival times the processing times and the blocking structures of the jobs form a stationary and ergodic sequence the random precedence constraints capture the essential operational characteristic of parallel processing and allow a unified treatment of concurrent processing systems from such diverse areas as parallel computation database concurrency control queuing networks flexible manufacturing systems the above basic model includes the gg and gg queuing systems as special extreme cases although there is an infinite number of processors the precedence constraints induce a queuing phenomenon which depending on the loading conditions can lead to stability or instability of the system in this paper the condition for stability of the system is first precisely specified the asymptotic behavior at large times of the quantities associated with the performance of the system is then studied and the degree of parallelism expressed as the asymptotic average number of processors that work concurrently is computed finally various design and simulation aspects concerning parallel processing systems are considered and the case of finite number of processors is discussed the results proved for the basic model are then extended to cover more complex and realistic parallel processing systems where each job has a random internal structure of subtasks to be executed according to some internal precedence constriants"
12 "an algebraic framework for the study of recursion has been" "an algebraic framework for the study of recursion has been developed for immediate linear recursion a horn clause is represented by a relational algebra operator it is shown that the set of all such operators forms a closed semiring in this formalism query answering corresponds to solving a linear equation for the first time the query answer is able to be expressed in an explicit algebraic form within an algebraic structure the manipulative power thus afforded has several implications on the implementation of recursive query processing algorithms several possible decompositions of a given operator are presented that improve the performance of the algorithms as well as several transformations that give the ability to take into account any selections or projections that are present in a givin query in addition it is shown that mutual linear recursion can also be studied within a closed semiring by using relation vectors and operator matrices regarding nonlinear recursion it is first shown that horn clauses always give rise to multilinear recursion which can always be reduced to bilinear recursion bilinear recursion is then shown to form a nonassociative closed semiring finally several sufficient and necessaryandsufficient conditions for bilinear recursion to be equivalent to a linear one of a specific form are given one of the sufficient conditions is derived by embedding to bilinear recursion in an algebra"
14 "let km denote the smallest number with the property that" "let km denote the smallest number with the property that every mstate finite automaton can be built as a neural net using km or fewer neurons a counting argument shows that km is at least ohgrm log m and a construction shows that km is at most om the counting argument and the construction allow neural nets with arbitrarily complex local structure and thus may require neurons that themselves amount to complicated networks mild and in practical situations almost necessary constraints on the local structure of the network give again by a counting argument and a construction lower and upper bounds for km that are both linear in m"
15 "autoepistemic logic is one of the principal modes of nonmonotonic" "autoepistemic logic is one of the principal modes of nonmonotonic reasoning it unifies several other modes of nonmonotonic reasoning and has important application in logic programming in the paper a theory of autoepistemic logic is developed this paper starts with a brief survey of some of the previously known results then the nature of nonmonotonicity is studied by investigating how membership of autoepistemic statements in autoepistemic theories depends on the underlying objective theory a notion similar to settheoretic forcing is introduced expansions of autoepistemic theories are also investigated expansions serve as sets of consequences of an autoepistemic theory and they can also be used to define semantics for logic programs with negation theories that have expansions are characterized and a normal form that allows the description of all expansions of a theory is introduced our results imply algorithms to determine whether a theory has a unique expansion sufficient conditions stratification that imply existence of a unique expansion are discussed the definition of stratified theories is extended and under some additional assumptions efficient algorithms for testing whether a theory is stratified are proposed the theorem characterizing expansions is applied to two classes of theories ktheories and aeprograms in each case simple hypergraph characterization of expansions of theories from each of these classes is given finally connections with stable model semantics for logic programs with negation is discussed in particular it is proven that the problem of existence of stable models is npcomplete"
16 "an improved and general approach to connectedcomponent labeling of images" "an improved and general approach to connectedcomponent labeling of images is presented the algorithm presented in this paper processes images in predetermined order which means that the processing order depends only on the image representation scheme and not on specific properties of the image the algorithm handles a wide variety of image representation schemes rasters run lengths quadrees bintrees etc how to adapt the standard unionfind algorithm to permit reuse of temporary labels is shown this is done using a technique called age balancing in which when two labels are merged the older label becomes the father of the younger label this technique can be made to coexist with the more conventional rule of weight balancing in which the label with more descendants becomes the father of the label with fewer descendants various image scanning orders are examined and classified it is also shown that when the algorithm is specialized to a pixel array scanned in raster order the total processing time is linear in the number of pixels the lineartime processing time follows from a special property of the unionfind algorithm which may be of independent interest this property states that under certain restrictions on the input unionfind runs in time linear in the number of find and union operations under these restrictions lineartime performance can be achieved without resorting to the more complicated gabowtarjan algorithm for disjoint set union"
17 "text compression is often done using a fixed previously formed" "text compression is often done using a fixed previously formed dictionary code book that expresses which substrings of the text can be replaced by code words there always exists an optimal solution for textencoding problem due to the long processing times of the various optimal algorithms several heuristics have been proposed in the literature in this paper the worstcase compression gains obtained by the longest match and the greedy heuristics for various types of dictionaries is studied for general dictionaries the performance of the heuristics can be almost the weakest possible in practice however the dictionaries have usually properties that lead to a spaceoptimal or nearspaceoptimal coding result with the heuristics"
